db,num_documents,num_queries,qrels_recall@10,qrels_mrr@10,qrels_ndcg@10,ann_recall_vs_exact_mean,ann_recall_vs_exact_std,ann_recall_vs_exact_ci_low,ann_recall_vs_exact_ci_high
qdrant,200000,500,0.9423333333333334,0.8191015873015873,0.8458004077680377,0.992,0.036,0.9886000000000001,0.995
milvus,200000,500,0.9403333333333334,0.8194349206349206,0.8455385482608947,0.979,0.05812916651733448,0.9736000000000001,0.9838000000000001
elasticsearch,200000,500,0.9463333333333334,0.8231015873015873,0.8498004077680377,0.9917999999999999,0.0485052574470026,0.9872000000000001,0.9956
weaviate,200000,500,0.9313333333333333,0.8114349206349206,0.837851407150213,0.9752000000000001,0.08114776645108601,0.9676,0.982
