db,search_param_name,search_param_value,sweep_applicable,pareto_optimal,qrels_recall@10,qrels_mrr@10,qrels_ndcg@10,ann_recall_vs_exact@10,ann_recall_vs_exact@10_ci_low,ann_recall_vs_exact@10_ci_high,search_only_mean_latency_ms,p50_ms,p95_ms,p99_ms,wall_clock_search_only_qps,num_queries,num_repeats,index_count_at_this_point
qdrant,hnsw_ef_search,16,True,False,0.9613333333333334,0.8777317460317461,0.8958290188428871,0.9952000000000001,0.993,0.9974,13.75182826397213,11.142625166636813,32.01210879906282,48.92825410649186,75.78673886667458,500,3,108903
qdrant,hnsw_ef_search,32,True,False,0.9573333333333334,0.8736174603174603,0.8917219798950847,0.987,0.983,0.9907999999999999,8.036197754649038,7.76696516671412,13.21025939832907,19.252122110253058,152.8497509545759,500,3,108903
qdrant,hnsw_ef_search,64,True,True,0.9593333333333334,0.8756174603174603,0.8937219798950847,0.993,0.9902000000000001,0.9954000000000001,3.410249489294074,3.3091666658341032,4.664856816392177,5.8491908694001395,294.18531031785795,500,3,108903
qdrant,hnsw_ef_search,128,True,True,0.9633333333333334,0.8786174603174604,0.8969838394022277,0.998,0.9965999999999999,0.9992000000000001,5.215718741281307,4.108340333914384,6.789984016177183,11.654310000546191,201.0517203336757,500,3,108903
qdrant,hnsw_ef_search,256,True,True,0.9653333333333334,0.8806174603174604,0.8989838394022277,0.9992000000000001,0.9984,0.9997999999999999,5.0544066120467805,4.858638834775775,6.521111483380081,8.817943666302497,198.16981555969392,500,3,108903
milvus,hnsw_ef_search,16,True,False,0.9323333333333333,0.851931746031746,0.8687003001076212,0.9104000000000001,0.898195,0.9224000000000001,6.6650204266406945,4.2575905002498375,10.01688056676357,17.99144991990032,206.291309690222,500,3,108903
milvus,hnsw_ef_search,32,True,False,0.9533333333333334,0.869331746031746,0.8875095708437024,0.9274000000000001,0.9170000000000001,0.9374000000000001,2.5699548680058797,2.391409832853242,3.4881065517159464,5.5228487191440445,391.07257369276493,500,3,108903
milvus,hnsw_ef_search,64,True,True,0.9553333333333334,0.8726174603174603,0.8904601203879418,0.9822000000000001,0.9766,0.9876050000000001,2.387726783956168,2.1553751660879548,3.2346932164121713,5.438168718913705,419.29911817981656,500,3,108903
milvus,hnsw_ef_search,128,True,True,0.9573333333333334,0.8746174603174603,0.8924601203879418,0.9917999999999999,0.9882000000000001,0.9948,3.058511589333648,2.867527832374132,4.5433474842260075,7.9184603884035205,331.63266097857263,500,3,108903
milvus,hnsw_ef_search,256,True,True,0.9633333333333334,0.8786174603174604,0.8969838394022277,0.9962,0.9937999999999999,0.9982000000000001,3.6016925973284137,3.312076333410611,5.498377683215949,10.136405230841756,279.51450487115727,500,3,108903
elasticsearch,num_candidates,16,True,False,0.9653333333333334,0.8841174603174603,0.9015987672717951,0.957,0.9482,0.9652000000000001,15.526181817990922,8.285652666624324,48.92724723431454,123.06338510797394,82.56230021063554,500,3,108903
elasticsearch,num_candidates,32,True,True,0.9653333333333334,0.8806174603174604,0.8989838394022277,0.985,0.9806000000000001,0.989,9.211849752010798,6.324666333360558,26.674578784756374,53.58779922424812,117.61443808407557,500,3,108903
elasticsearch,num_candidates,64,True,False,0.9653333333333334,0.8806174603174604,0.8989838394022277,0.9932000000000001,0.9904000000000001,0.9956,8.32313766929777,7.66429183325575,11.757687783392607,19.561846576665012,122.92735879352676,500,3,108903
elasticsearch,num_candidates,128,True,False,0.9653333333333334,0.8806174603174604,0.8989838394022277,0.9977999999999999,0.9962000000000001,0.999,8.200329120675937,8.025485833059065,9.981001500212491,13.676087833543221,122.00466637562299,500,3,108903
elasticsearch,num_candidates,256,True,False,0.9653333333333334,0.8806174603174604,0.8989838394022277,0.9996,0.999,1.0,10.207867944055275,9.67293733265251,13.552807634793373,21.32558783296795,98.65719209865779,500,3,108903
weaviate,hnsw_ef_search,64,False,True,0.9533333333333334,0.8706174603174603,0.8884601203879418,0.9783999999999999,0.9726,0.984,5.106496487957581,4.25886083394289,10.763349200169607,18.929498996330924,198.82222806475013,500,3,108903
