db,num_documents,num_queries,qrels_recall@10,qrels_mrr@10,qrels_ndcg@10,ann_recall_vs_exact_mean,ann_recall_vs_exact_std,ann_recall_vs_exact_ci_low,ann_recall_vs_exact_ci_high
qdrant,100000,500,0.9653333333333334,0.8806174603174604,0.8989838394022277,0.9997999999999999,0.004467661580737734,0.9994,1.0
milvus,100000,500,0.9553333333333334,0.8730309523809524,0.891061586306313,0.942,0.09442457307290301,0.9336,0.9502
elasticsearch,100000,500,0.9653333333333334,0.8806174603174604,0.8989838394022277,0.9944000000000001,0.027724357521861528,0.9917999999999999,0.9967999999999999
weaviate,100000,500,0.9523333333333334,0.8686174603174603,0.8868145989615099,0.9782000000000001,0.06651886950332213,0.9722000000000001,0.984
